"Data","Method","F1-score","Precision","Recall","Accuracy","Quadloss"
"nikolovski2014","NNET",0.712689393939394,0.718481518481519,0.729791042291042,0.690909090909091,1.72510808874676
"nikolovski2014","NNET",0.773302013554468,0.839583333333333,0.73794955044955,0.781818181818182,1.66794028968421
"nikolovski2014","NNET",0.61698717948718,0.69135551948052,0.598297535797536,0.636363636363636,1.85241180703155
"nikolovski2014","NNET",0.689840714840715,0.689498001998002,0.710331335331335,0.709090909090909,1.77083033218696
"nikolovski2014","NNET",0.519810606060606,0.513621794871795,0.538628038628039,0.545454545454545,1.68675803326052
"nikolovski2014","NNET",0.604107710277787,0.604166666666667,0.62235680985681,0.6,1.70346746613742
"nikolovski2014","NNET",0.717456616273752,0.732368326118326,0.739115051615052,0.690909090909091,1.8886166947869
"nikolovski2014","NNET",0.570678626928627,0.58781512605042,0.587495837495837,0.563636363636364,1.87046451859115
"nikolovski2014","NNET",0.682459207459208,0.718963675213675,0.678280053280053,0.709090909090909,1.64796794691607
"nikolovski2014","NNET",0.610007122507123,0.630357142857143,0.616716616716617,0.618181818181818,1.86665179010439
"nikolovski2014","NNET",0.583922558922559,0.619534632034632,0.566100566100566,0.6,1.5963484832338
"nikolovski2014","NNET",0.613926514661809,0.635635198135198,0.620754245754246,0.636363636363636,1.88645615303688
"nikolovski2014","NNET",0.625124085684431,0.663795405982906,0.620358807858808,0.618181818181818,1.75356010740333
"nikolovski2014","NNET",0.614033745590548,0.664583333333333,0.593198468198468,0.654545454545455,1.75766143274687
"nikolovski2014","NNET",0.677265211640212,0.817384004884005,0.674075924075924,0.727272727272727,1.60036670614402
"nikolovski2014","NNET",0.70991341991342,0.742857142857143,0.707355144855145,0.690909090909091,1.87326111363623
"nikolovski2014","NNET",0.605831807081807,0.613690476190476,0.655240592740593,0.618181818181818,1.66942388942398
"nikolovski2014","NNET",0.705424235933981,0.749479166666667,0.699113386613387,0.727272727272727,1.76477918296877
"nikolovski2014","NNET",0.61070817623237,0.688636363636364,0.618901931401931,0.672727272727273,1.65523908440252
"nikolovski2014","NNET",0.608651040987997,0.60625,0.636696636696637,0.618181818181818,1.8213080205993
"nikolovski2014","NNET",0.683418433418433,0.676920995670996,0.698967698967699,0.690909090909091,1.69545265168778
"nikolovski2014","NNET",0.598111658456486,0.604017857142857,0.613740426240426,0.618181818181818,1.91446430867957
"nikolovski2014","NNET",0.682298679581288,0.690201465201465,0.681110556110556,0.672727272727273,1.717009200705
"nikolovski2014","NNET",0.504675437814383,0.617640692640693,0.491716616716617,0.545454545454545,1.83212108358402
"nikolovski2014","NNET",0.641967407592408,0.7121336996337,0.623876123876124,0.654545454545455,1.68137249265759
"nikolovski2014","NNET",0.642306998556999,0.650526556776557,0.695450382950383,0.672727272727273,1.70576723500246
"nikolovski2014","NNET",0.693691724941725,0.710926573426573,0.710331335331335,0.709090909090909,1.66713554424903
"nikolovski2014","NNET",0.618682852235484,0.617609126984127,0.633345820845821,0.654545454545455,1.79171160110147
"nikolovski2014","NNET",0.562518876051485,0.566369047619048,0.567328504828505,0.6,1.70412160373526
"nikolovski2014","NNET",0.667754515599343,0.736111111111111,0.630515318015318,0.654545454545455,1.60780585423175
"nikolovski2014","NNET",0.658985805860806,0.701121794871795,0.682858807858808,0.672727272727273,1.65323327427524
"nikolovski2014","NNET",0.576705794205794,0.589917027417027,0.583812021312021,0.6,1.76722655921626
"nikolovski2014","NNET",0.517997198879552,0.528869047619048,0.53475690975691,0.563636363636364,1.57019502073603
"nikolovski2014","NNET",0.631222481222481,0.678125,0.620504495504495,0.654545454545455,1.74470836186168
"nikolovski2014","NNET",0.690452317290553,0.728219696969697,0.680423742923743,0.690909090909091,1.65097940758666
"nikolovski2014","RF",0.732554945054945,0.775,0.712225274725275,0.727272727272727,1.47006370909091
"nikolovski2014","RF",0.664462349244958,0.670833333333333,0.665542790542791,0.672727272727273,1.41328698181818
"nikolovski2014","RF",0.660817874580662,0.702678571428571,0.670038295038295,0.672727272727273,1.4782592
"nikolovski2014","RF",0.808373917748918,0.855050505050505,0.806943056943057,0.8,1.45099476363636
"nikolovski2014","RF",0.700338319088319,0.819072420634921,0.706959706959707,0.745454545454545,1.46795781818182
"nikolovski2014","RF",0.741192141192141,0.790337481146305,0.723443223443223,0.727272727272727,1.475992
"nikolovski2014","RF",0.707117882117882,0.777999084249084,0.691933066933067,0.727272727272727,1.45321963636364
"nikolovski2014","RF",0.776949811807383,0.794270833333333,0.767024642024642,0.763636363636364,1.48036116363636
"nikolovski2014","RF",0.787204246902523,0.829767628205128,0.774891774891775,0.8,1.40522574545455
"nikolovski2014","RF",0.723279337409772,0.729464285714286,0.71994671994672,0.727272727272727,1.49193818181818
"nikolovski2014","RF",0.715694490694491,0.790327380952381,0.713453213453213,0.727272727272727,1.47223869090909
"nikolovski2014","RF",0.744079722959033,0.792210393772894,0.725357975357975,0.763636363636364,1.45694618181818
"nikolovski2014","RF",0.75922619047619,0.825080128205128,0.758637196137196,0.763636363636364,1.52240567272727
"nikolovski2014","RF",0.554148891036368,0.570833333333333,0.563436563436563,0.654545454545455,1.422144
"nikolovski2014","RF",0.628841991341991,0.816326530612245,0.646374458874459,0.727272727272727,1.43534283636364
"nikolovski2014","RF",0.595104895104895,0.726912303382892,0.614406426906427,0.636363636363636,1.49642690909091
"nikolovski2014","RF",0.72119708994709,0.721211080586081,0.746732434232434,0.727272727272727,1.52131069090909
"nikolovski2014","RF",0.677976190476191,0.7061722999223,0.703692141192141,0.690909090909091,1.42724218181818
"nikolovski2014","RF",0.727711225556053,0.743492965367965,0.749021811521812,0.727272727272727,1.44344407272727
"nikolovski2014","RF",0.692612776716038,0.758770743145743,0.685293872793873,0.727272727272727,1.43072305454545
"nikolovski2014","RF",0.696063736403849,0.771924603174603,0.678280053280053,0.690909090909091,1.48370167272727
"nikolovski2014","RF",0.731163003663004,0.805952380952381,0.699113386613387,0.727272727272727,1.45336247272727
"nikolovski2014","RF",0.706385281385281,0.711647727272727,0.71994671994672,0.727272727272727,1.47401207272727
"nikolovski2014","RF",0.683631564513917,0.816991341991342,0.664460539460539,0.709090909090909,1.44972843636364
"nikolovski2014","RF",0.635980685980686,0.697916666666667,0.60791292041292,0.636363636363636,1.38991549090909
"nikolovski2014","RF",0.630976270106705,0.710346638655462,0.636613386613387,0.672727272727273,1.42968436363636
"nikolovski2014","RF",0.685151701746529,0.731696428571429,0.674075924075924,0.709090909090909,1.42676523636364
"nikolovski2014","RF",0.742687312687313,0.755100108225108,0.750624375624376,0.727272727272727,1.39498763636364
"nikolovski2014","RF",0.616864154364154,0.72359068627451,0.582500832500833,0.654545454545455,1.40140305454545
"nikolovski2014","RF",0.715422771672772,0.774916056166056,0.727106227106227,0.763636363636364,1.45271621818182
"nikolovski2014","RF",0.721067030795292,0.721577380952381,0.753746253746254,0.727272727272727,1.49646356363636
"nikolovski2014","RF",0.698128306878307,0.744791666666667,0.715201465201465,0.727272727272727,1.46621149090909
"nikolovski2014","RF",0.762136273896019,0.806770833333333,0.77947052947053,0.763636363636364,1.49542792727273
"nikolovski2014","RF",0.741337828837829,0.805005411255411,0.771603396603397,0.745454545454545,1.48309629090909
"nikolovski2014","RF",0.674319765483559,0.743452380952381,0.692765567765568,0.745454545454545,1.46649949090909
"nikolovski2014","RF",0.749835164835165,0.873809523809524,0.725503663003663,0.818181818181818,1.44779665454545
"nikolovski2014","RF",0.676113570082715,0.763194444444444,0.67965367965368,0.727272727272727,1.41193687272727
"nikolovski2014","RF",0.704050116550117,0.761056345615169,0.698031135531135,0.745454545454545,1.50109469090909
"nikolovski2014","RF",0.759892325416519,0.777083333333333,0.774746087246087,0.763636363636364,1.46918036363636
"nikolovski2014","RF",0.660181623931624,0.703571428571429,0.660797535797536,0.672727272727273,1.43729469090909
"nikolovski2014","RF",0.724192665571976,0.755008012820513,0.734286546786547,0.745454545454545,1.44299141818182
"nikolovski2014","RF",0.669347319347319,0.697035256410256,0.654845154845155,0.672727272727273,1.44652232727273
"nikolovski2014","RF",0.683295405868494,0.751041666666667,0.697885447885448,0.727272727272727,1.44740901818182
"nikolovski2014","RF",0.565196282006627,0.658556547619048,0.548389110889111,0.618181818181818,1.3944624
"nikolovski2014","RF",0.613862179487179,0.631141774891775,0.624958374958375,0.618181818181818,1.38789076363636
"nikolovski2014","RF",0.656841817186645,0.672916666666667,0.672181984681985,0.672727272727273,1.42323869090909
"nikolovski2014","RF",0.61450776235259,0.639903846153846,0.620504495504495,0.654545454545455,1.39540450909091
"nikolovski2014","RF",0.747126022126022,0.847089460784314,0.755265567765568,0.763636363636364,1.51495883636364
"nikolovski2014","RF",0.686730307735743,0.73125,0.682858807858808,0.690909090909091,1.39129163636364
"nikolovski2014","RF",0.695885642135642,0.743154761904762,0.70260989010989,0.709090909090909,1.41225134545455
"nikolovski2014","RF",0.611183261183261,0.692788461538462,0.601585914085914,0.672727272727273,1.49239170909091
"nikolovski2014","RF",0.630629786879787,0.623349567099567,0.658903596403596,0.636363636363636,1.42755549090909
"nikolovski2014","RF",0.79716810966811,0.805005411255411,0.808691308691309,0.8,1.44891461818182
"nikolovski2014","RF",0.668279405779406,0.747195512820513,0.662171162171162,0.672727272727273,1.40623723636364
"nikolovski2014","RF",0.704859673337934,0.818452380952381,0.691933066933067,0.745454545454545,1.40260509090909
"nikolovski2014","RF",0.618910256410256,0.688244047619048,0.60791292041292,0.636363636363636,1.34780450909091
"nikolovski2014","RF",0.628821822300083,0.705357142857143,0.603563103563103,0.636363636363636,1.41295054545455
"nikolovski2014","RF",0.681607744107744,0.71668956043956,0.700861638361638,0.709090909090909,1.41422094545455
"nikolovski2014","RF",0.638746438746439,0.739434523809524,0.60791292041292,0.654545454545455,1.42976596363636
"nikolovski2014","RF",0.720012234142669,0.764810924369748,0.696137196137196,0.709090909090909,1.48433163636364
"nikolovski2014","RF",0.632123121131742,0.748635912698413,0.620650183150183,0.690909090909091,1.45372305454545
"nikolovski2014","RF",0.63704594017094,0.693292124542125,0.619130869130869,0.618181818181818,1.45664436363636
"nikolovski2014","RF",0.623921911421911,0.698748473748474,0.62210705960706,0.654545454545455,1.43472232727273
"nikolovski2014","RF",0.757554945054945,0.841666666666667,0.774725274725275,0.781818181818182,1.48681832727273
"nikolovski2014","RF",0.691787518037518,0.674837662337662,0.739260739260739,0.690909090909091,1.46469498181818
"nikolovski2014","RF",0.669385938135938,0.805881892230576,0.663544788544788,0.709090909090909,1.52106283636364
"nikolovski2014","RF",0.594421713907008,0.658820346320346,0.604645354645355,0.618181818181818,1.40604101818182
"nikolovski2014","RF",0.511435540266185,0.68015873015873,0.54243672993673,0.618181818181818,1.38685105454545
"nikolovski2014","RF",0.667380952380952,0.693624084249084,0.66743672993673,0.709090909090909,1.42759563636364
"nikolovski2014","RF",0.684875957375957,0.786151960784314,0.687895437895438,0.727272727272727,1.43851272727273
"nikolovski2014","RF",0.67365442528486,0.71860119047619,0.683545621045621,0.709090909090909,1.5045152
"nikolovski2014","RF",0.629567307692308,0.664232697127434,0.629974192474193,0.636363636363636,1.45273003636364
"nikolovski2014","RF",0.729308608058608,0.750824175824176,0.742382617382617,0.727272727272727,1.40402065454545
"nikolovski2014","RF",0.683851333851334,0.727380952380952,0.67461704961705,0.690909090909091,1.46230690909091
"nikolovski2014","RF",0.691470463413398,0.751237468671679,0.675303862803863,0.709090909090909,1.40342487272727
"nikolovski2014","RF",0.737206498211933,0.798611111111111,0.704378954378954,0.727272727272727,1.47832770909091
"nikolovski2014","RF",0.708129863639609,0.775520833333333,0.699113386613387,0.727272727272727,1.42460407272727
"nikolovski2014","RF",0.69363711001642,0.788318452380952,0.686667499167499,0.727272727272727,1.41847185454545
"nikolovski2014","RF",0.760645188145188,0.8,0.755265567765568,0.781818181818182,1.49967970909091
"nikolovski2014","RF",0.715094929225364,0.763918067226891,0.696137196137196,0.727272727272727,1.3975952
"nikolovski2014","RF",0.715636030636031,0.740327380952381,0.736263736263736,0.709090909090909,1.44965672727273
"nikolovski2014","RF",0.672884945514256,0.765178571428571,0.654470529470529,0.690909090909091,1.46703490909091
"nikolovski2014","RF",0.679387997623292,0.737175324675325,0.667291042291042,0.672727272727273,1.40113076363636
"nikolovski2014","RF",0.665026687871515,0.709397893772894,0.656218781218781,0.690909090909091,1.52195781818182
"nikolovski2014","RF",0.663427544677545,0.699563671622495,0.654470529470529,0.690909090909091,1.45312610909091
"nikolovski2014","RF",0.70744005994006,0.722458791208791,0.713827838827839,0.690909090909091,1.44203534545455
"nikolovski2014","RF",0.59141114262082,0.697222222222222,0.582500832500833,0.672727272727273,1.40849134545455
"nikolovski2014","RF",0.679538939321548,0.783263305322129,0.663940226440226,0.690909090909091,1.44759578181818
"nikolovski2014","RF",0.780032648510909,0.814732142857143,0.765651015651016,0.781818181818182,1.44342109090909
"nikolovski2014","RF",0.732194616977226,0.766894257703081,0.726440226440226,0.709090909090909,1.46920334545455
"nikolovski2014","RF",0.637685751748252,0.681296992481203,0.63011988011988,0.672727272727273,1.46523403636364
"nikolovski2014","RF",0.700320512820513,0.690516591251885,0.715742590742591,0.727272727272727,1.45865803636364
"nikolovski2014","RF",0.796516164994426,0.830273199023199,0.790834165834166,0.8,1.45285818181818
"nikolovski2014","RF",0.716872294372294,0.796743697478992,0.733058608058608,0.727272727272727,1.50706530909091
"nikolovski2014","RF",0.77796850201273,0.845238095238095,0.789085914085914,0.781818181818182,1.4953968
"nikolovski2014","RF",0.636845466155811,0.721354166666667,0.60791292041292,0.636363636363636,1.42366938181818
"nikolovski2014","RF",0.707797818123905,0.756030701754386,0.70764652014652,0.745454545454545,1.47344043636364
"nikolovski2014","RF",0.699923605805959,0.782967032967033,0.684919247419247,0.709090909090909,1.42931694545455
"nikolovski2014","RF",0.658594877344877,0.667219065656566,0.684461371961372,0.636363636363636,1.55572305454545
"nikolovski2014","RF",0.511431623931624,0.583946078431373,0.504433066933067,0.618181818181818,1.37453032727273
"nikolovski2014","NB",0.576381951381951,0.618807581307581,0.589244089244089,0.6,1.64248759970261
"nikolovski2014","NB",0.649130869130869,0.65952380952381,0.661650849150849,0.672727272727273,1.66360929769121
"nikolovski2014","NB",0.59964589758068,0.591666666666667,0.640900765900766,0.581818181818182,1.56904544981396
"nikolovski2014","NB",0.588696448479057,0.625612745098039,0.573967698967699,0.618181818181818,1.73260392712208
